#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#
#BUSHES, SHRUBS
bush_pohuehue_leaves|Bush - Pohuehue Leaves|||lib_ecology_bush_pohuehue_leaves.png||||allfaces_optional|2|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE|||||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||||||lib_ecology.after_place_leaves|
bush_rhodedendron_leaves_1|Bush - Rhodedendron Leaves 1|||lib_ecology_bush_rhodedendron_leaves_1.png||||allfaces_optional|1.5|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE||11|bush_rhodedendron_leaves_2||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||timer|60120|400|gal:bush_rhodedendron_leaves_2|lib_ecology.after_place_leaves|
bush_rhodedendron_leaves_2|Bush - Rhodedendron Leaves 2|||lib_ecology_bush_rhodedendron_leaves_2.png||||allfaces_optional|1.5|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE||11|bush_rhodedendron_leaves_3||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||timer|60120|300|gal:bush_rhodedendron_leaves_3|lib_ecology.after_place_leaves|
bush_rhodedendron_leaves_3|Bush - Rhodedendron Leaves 3|||lib_ecology_bush_rhodedendron_leaves_3.png||||allfaces_optional|1.5|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE||11|||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||timer|60120|200|gal:bush_rhodedendron_leaves_1|lib_ecology.after_place_leaves|
bush_trunk|Bush - Trunk|||lib_ecology_bush_trunk.png||||plantlike|1.41||light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||wood||||-0.4375,-0.5,-0.4375,0.4375,0.5,0.4375||||||||||||||
#
#CACTII
#
#CORALS
coral_blue_01|Coral - Blue 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_01.png false|lib_ecology_coral_blue_01.png|lib_ecology_coral_blue_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_blue_01|gal:coral_blue_01||||||||||||||||
coral_blue_02|Coral - Blue 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_02.png false|lib_ecology_coral_blue_02.png|lib_ecology_coral_blue_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_blue_02|gal:coral_blue_02||||||||||||||||
coral_blue_03|Coral - Blue 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_blue_03.png false|lib_ecology_coral_blue_03.png|lib_ecology_coral_blue_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_blue_03|gal:coral_blue_03||||||||||||||||
coral_brain|Coral - Brain|||lib_ecology_coral_brain.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_brain_pink|Coral - Brain_Pink|||lib_ecology_coral_brain_pink.png||lib_ecology_coral_brain_pink.png|lib_ecology_coral_brain_pink.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_brain_pink|gal:coral_brain_pink||||||||||||||||
coral_brain_pink_skeleton|Coral - Brain_Pink|||lib_ecology_coral_brain_pink_skeleton.png||lib_ecology_coral_brain_pink_skeleton.png|lib_ecology_coral_brain_pink_skeleton.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_brain_pink_skeleton|gal:coral_brain_pink_skeleton||||||||||||||||
coral_brain_pink_coral|Coral - Brain_Pink_Coral|||lib_ecology_coral_brain_pink_coral.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_brain_pink_coral_skeleton|Coral - Brain_Pink_Coral|||lib_ecology_coral_brain_pink_coral_skeleton.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_brain_stone|Coral - Brain_Stone|||lib_ecology_coral_brain_stone.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_brown|Coral - Brown|||lib_ecology_coral_brown.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_bubble|Coral - Bubble|||lib_ecology_coral_bubble.png|lib_ecology_coral_bubble.png false|lib_ecology_coral_bubble.png|lib_ecology_coral_bubble.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_bubble|gal:coral_bubble||||||||||||||||
coral_bubble_skeleton|Coral - Bubble|||lib_ecology_coral_bubble_skeleton.png|lib_ecology_coral_bubble_skeleton.png false|lib_ecology_coral_bubble_skeleton.png|lib_ecology_coral_bubble_skeleton.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_bubble_skeleton|gal:coral_bubble_skeleton||||||||||||||||
coral_bubble_coral|Coral - Bubble_Coral|||lib_ecology_coral_bubble_coral.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_bubble_coral_skeleton|Coral - Bubble_Coral|||lib_ecology_coral_bubble_coral_skeleton.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_cauliflower_brown|Coral - Cauliflower_Brown|||lib_ecology_coral_cauliflower_brown.png|lib_ecology_coral_cauliflower_brown.png false|lib_ecology_coral_cauliflower_brown.png|lib_ecology_coral_cauliflower_brown.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cauliflower_brown|gal:coral_cauliflower_brown||||||||||||||||
coral_cauliflower_green|Coral - Cauliflower_Green|||lib_ecology_coral_cauliflower_green.png|lib_ecology_coral_cauliflower_green.png false|lib_ecology_coral_cauliflower_green.png|lib_ecology_coral_cauliflower_green.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cauliflower_green|gal:coral_cauliflower_green||||||||||||||||
coral_cauliflower_pink|Coral - Cauliflower_Pink|||lib_ecology_coral_cauliflower_pink.png|lib_ecology_coral_cauliflower_pink.png false|lib_ecology_coral_cauliflower_pink.png|lib_ecology_coral_cauliflower_pink.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cauliflower_pink|gal:coral_cauliflower_pink||||||||||||||||
coral_cluster_green|Coral - Cluster_Green|||lib_ecology_coral_cluster_green.png|lib_ecology_coral_cluster_green.png false|lib_ecology_coral_cluster_green.png|lib_ecology_coral_cluster_green.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cluster_green|gal:coral_cluster_green||||||||||||||||
coral_cluster_orange|Coral - Cluster_Orange|||lib_ecology_coral_cluster_orange.png|lib_ecology_coral_cluster_orange.png false|lib_ecology_coral_cluster_orange.png|lib_ecology_coral_cluster_orange.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cluster_orange|gal:coral_cluster_orange||||||||||||||||
coral_cluster_purple|Coral - Cluster_Purple|||lib_ecology_coral_cluster_purple.png|lib_ecology_coral_cluster_purple.png false|lib_ecology_coral_cluster_purple.png|lib_ecology_coral_cluster_purple.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_cluster_purple|gal:coral_cluster_purple||||||||||||||||
coral_dragon_eye|Coral - Dragon Eye|||lib_ecology_coral_dragon_eye.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_fire|Coral - Fire|||lib_ecology_coral_fire.png|lib_ecology_coral_fire.png false|lib_ecology_coral_fire.png|lib_ecology_coral_fire.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_fire|gal:coral_fire||||||||||||||||
coral_fire_skeleton|Coral - Fire|||lib_ecology_coral_fire_skeleton.png|lib_ecology_coral_fire_skeleton.png false|lib_ecology_coral_fire_skeleton.png|lib_ecology_coral_fire_skeleton.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_fire_skeleton|gal:coral_fire_skeleton||||||||||||||||
coral_fire_coral|Coral - Fire_Coral|||lib_ecology_coral_fire_coral.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_fire_coral_skeleton|Coral - Fire_Coral|||lib_ecology_coral_fire_coral_skeleton.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_green_01|Coral - Green 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_green_01.png false|lib_ecology_coral_green_01.png|lib_ecology_coral_green_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_green_01|gal:coral_green_01||||||||||||||||
coral_green_02|Coral - Green 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_green_02.png false|lib_ecology_coral_green_02.png|lib_ecology_coral_green_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_green_02|gal:coral_green_02||||||||||||||||
coral_hammer|Coral - Hammer|||lib_ecology_coral_hammer.png|lib_ecology_coral_hammer.png false|lib_ecology_coral_hammer.png|lib_ecology_coral_hammer.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_hammer|gal:coral_hammer||||||||||||||||
coral_horn|Coral - Horn|||lib_ecology_coral_horn.png|lib_ecology_coral_horn.png false|lib_ecology_coral_horn.png|lib_ecology_coral_horn.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_horn|gal:coral_horn||||||||||||||||
coral_horn_skeleton|Coral - Horn|||lib_ecology_coral_horn_skeleton.png|lib_ecology_coral_horn_skeleton.png false|lib_ecology_coral_horn_skeleton.png|lib_ecology_coral_horn_skeleton.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_horn_skeleton|gal:coral_horn_skeleton||||||||||||||||
coral_horn_coral|Coral - Horn_Coral|||lib_ecology_coral_horn_coral.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_horn_coral_skeleton|Coral - Horn_Coral|||lib_ecology_coral_horn_coral_skeleton.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_orange_01|Coral - Orange 01|||lib_ecology_coral_orange_01.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_orange_02|Coral - Orange 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_orange_02.png false|lib_ecology_coral_orange_02.png|lib_ecology_coral_orange_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_orange_02|gal:coral_orange_02||||||||||||||||
coral_orange_03|Coral - Orange 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_orange_03.png false|lib_ecology_coral_orange_03.png|lib_ecology_coral_orange_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_orange_03|gal:coral_orange_03||||||||||||||||
#coral_pillar||||lib_ecology_coral_pillar.png||||nodebox||||||2|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone|||grid|-0.5,-0.5,-0.5,0.5,0.5,0.5||||||||||||||
coral_pink_01|Coral - Pink 01|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_01.png false|lib_ecology_coral_pink_01.png|lib_ecology_coral_pink_01.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_pink_01|gal:coral_pink_01||||||||||||||||
coral_pink_02|Coral - Pink 02|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_02.png false|lib_ecology_coral_pink_02.png|lib_ecology_coral_pink_02.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_pink_02|gal:coral_pink_02||||||||||||||||
coral_pink_03|Coral - Pink 03|||lib_ecology_coral_skeleton.png|lib_ecology_coral_pink_03.png false|lib_ecology_coral_pink_03.png|lib_ecology_coral_pink_03.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_pink_03|gal:coral_pink_03||||||||||||||||
coral_purple|Coral - Purple|||lib_ecology_coral_skeleton.png|lib_ecology_coral_purple.png false|lib_ecology_coral_purple.png|lib_ecology_coral_purple.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_purple|gal:coral_purple||||||||||||||||
coral_red|Coral - Red|||lib_ecology_coral_skeleton.png|lib_ecology_coral_red.png false|lib_ecology_coral_red.png|lib_ecology_coral_red.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_red|gal:coral_red||||||||||||||||
coral_seafan|Coral - Seafan|||lib_ecology_coral_seafan.png|lib_ecology_coral_seafan.png false|lib_ecology_coral_seafan.png|lib_ecology_coral_seafan.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_seafan|gal:coral_seafan||||||||||||||||
coral_skeleton|Coral - Skeleton|||lib_ecology_coral_skeleton.png||||||||||2|||||||||||||||||cracky 3,stone 1,sea 1|||stone||||||||||||||||||
coral_sponge|Coral - Sponge|||lib_ecology_coral_sponge.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_staghorn|Coral - Staghorn|||lib_ecology_coral_skeleton.png|lib_ecology_coral_staghorn.png false|lib_ecology_coral_staghorn.png|lib_ecology_coral_staghorn.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_staghorn|gal:coral_staghorn||||||||||||||||
coral_stone|Coral - Stone|||lib_ecology_coral_stone.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_tube|Coral - Tube|||lib_ecology_coral_tube.png|lib_ecology_coral_tube.png false|lib_ecology_coral_tube.png|lib_ecology_coral_tube.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_tube|gal:coral_tube||||||||||||||||
coral_tube_skeleton|Coral - Tube|||lib_ecology_coral_tube_skeleton.png|lib_ecology_coral_tube_skeleton.png false|lib_ecology_coral_tube_skeleton.png|lib_ecology_coral_tube_skeleton.png|plantlike_rooted|||light||||FALSE||||FALSE||1||TRUE|||FALSE|||||snappy 3,sea 1|||stone|gal:coral_tube_skeleton|gal:coral_tube_skeleton||||||||||||||||
coral_tube_coral|Coral - Tube_Coral|||lib_ecology_coral_tube_coral.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
coral_tube_coral_skeleton|Coral - Tube_Coral|||lib_ecology_coral_tube_coral_skeleton.png||||||||||4|||||||||||||||||cracky 3,stone 1,sea 1||gal:coral_skeleton|stone||||||||||||||||||
#
#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#FERNS
fern_big|Fern - Big|||lib_ecology_fern_big.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_bluespike|Fern - BlueSpike|||lib_ecology_fern_bluespike.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_boston|Fern - Boston Fern|||lib_ecology_fern_boston.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_broadleaf_fern|Fern - Broad Leaf Fern|||lib_ecology_fern_broadleaf.png||||mesh|||light||||FALSE||||||1||TRUE||||||||choppy 2,oddly_breakable_by_hand 1,flora 1,flammable 1|||leaves||||||fern_old.b3d|||||||TRUE|||||
fern_broadleaf_fern2|Fern - Broad Leaf Fern2|||lib_ecology_fern_broadleaf.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_dicksonia|Fern - Dicksonia|||lib_ecology_fern_dicksonia.png||||mesh|||light||||FALSE||||||1||TRUE||||||||choppy 2,oddly_breakable_by_hand 1,flora 1,flammable 1|||leaves||||||dicksonia.b3d|||||||TRUE|||||
fern_fern|Fern - Fern|||lib_ecology_fern_fern.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_fiddlehead|Fern - Fiddlehead|||lib_ecology_fern_fiddlehead.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_horsetail_02|Fern - Horsetail 02|||lib_ecology_fern_horsetail_4.png||||plantlike|||light||||FALSE||||TRUE|TRUE|||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||||||||||||||||||||
fern_horsetail_1|Fern - Young Horsetail (Equisetum)|||lib_ecology_fern_horsetail_1.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||fern_horsetail_2||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
fern_horsetail_2|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_2.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||fern_horsetail_3||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
fern_horsetail_3|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_3.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||fern_horsetail_4||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
fern_horsetail_4|Fern - Horsetail (Equisetum)|||lib_ecology_fern_horsetail_4.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
fern_horsetails|Fern - Horsetails|||lib_ecology_fern_horsetails.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_ladyfern|Fern - Lady Fern|||lib_ecology_fern_lady.png||||mesh|||light||||FALSE||||||1||TRUE||||||||choppy 2,oddly_breakable_by_hand 1,flora 1,flammable 1|||leaves||||||fern_old.b3d|||||||TRUE|||||
fern_ladyfern2|Fern - Ladyfern2|||lib_ecology_fern_lady.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
fern_large_1|Fern - Fern Large 1|||lib_ecology_fern_large_1.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||fern_large_2||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
fern_large_2|Fern - Fern Large 2|||lib_ecology_fern_large_2.png||||plantlike|||light||||FALSE||||TRUE|TRUE|1||TRUE|||FALSE|||fern_large_3||snappy 3,flora 1,plant 1,attached_node 1,growing 1,grass 1,flammable 1|||leaves||||-0.375,-0.5,-0.375,0.375,-0.3125,0.375||||||||||||||
