13,9,8,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,S2S20,S2S20,S2S20,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2L00,S2L00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2L00,S2L00,
_____,_____,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,S2m00,S2m00,_____,_____,
S2S20,S2S20,S2m00,S2m00,S2m00,S2S20,S2S20,S2S20,S2m00,S2m00,S2m00,S2S20,S2S20,
S2m00,_____,S2m00,S2m00,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,S2m00,
S2m00,_____,S2m00,S2m00,_____,_____,_____,_____,S2m00,S2m00,S2m00,_____,S2m00,
S2L00,S2L00,S2m00,S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,S2m00,S2L00,S2L00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2L00,S2m00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2m00,S2L00,
_____,S2m00,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,S2m00,_____,
_____,S2m00,S2S20,S2S20,S2m00,_____,_____,_____,S2m00,S2S20,S2S20,S2m00,_____,
_____,_____,_____,_____,Ld0N0,S2m00,S2m00,S2m00,Ld0S0,_____,_____,_____,_____,
_____,_____,_____,_____,Ld0N0,S2m00,S2m00,S2m00,Ld0S0,_____,_____,_____,_____,
_____,_____,TwW00,_____,Ld0N0,S2m00,S2m00,S2m00,Ld0S0,_____,TwW00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,K0S00,S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,
_____,S2m00,_____,_____,_____,S2m00,_____,S2m00,_____,_____,_____,S2m00,_____,
_____,K0S02,S2S20,S2S20,S2S20,S2m00,_____,S2m00,S2S20,S2S20,S2S20,K0S02,_____,
_____,_____,_____,_____,_____,_____,S2L00,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2L00,K0S01,S2m00,K0S03,S2L00,S2m00,S2m00,S2m00,S2m00,
_____,K0S02,S2m00,S2m00,_____,_____,_____,_____,_____,S2m00,S2m00,K0S02,_____,
_____,_____,S2m00,S2m00,_____,TwW00,_____,TwW00,_____,S2m00,S2m00,_____,_____,
_____,_____,_____,S2m00,S2m00,K2m00,S2m00,K2m00,S2m00,S2m00,_____,_____,_____,
_____,_____,_____,_____,K0S01,K2m00,S2m00,K2m00,K0S03,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
